Year,Country,Male,Female,LifeExp,Population,GDP
2018,Romania,71.80,79.20,75.41,19466145,239552516744.47
2018,Russia,67.75,77.81,72.66,144478050,1657554647149.87
2018,Rwanda,66.52,70.78,68.70,12301939,9508715596.44
2018,Samoa,71.20,75.33,73.19,196130,820491798.30
2018,Sao Tome and Principe,67.78,72.58,70.17,211028,422296762.32
2018,Saudi Arabia,73.80,76.62,75.00,33699947,786521831571.96
2018,Senegal,65.50,69.63,67.67,15854360,24129599551.79
2018,Republic of Serbia,73.10,78.10,75.54,6982604,50597289146.70
2018,Seychelles,68.50,77.40,72.84,96762,1590180446.19
2018,Sierra Leone,53.47,55.11,54.31,7650154,4085114794.22
2018,Singapore,81.00,85.40,83.15,5638676,364156657769.87
2018,Slovakia,73.80,80.70,77.17,5446771,105904632155.76
2018,Slovenia,78.20,84.00,81.03,2073894,54007972106.46
2018,Solomon Islands,71.16,74.70,72.84,652858,1395608472.01
2018,Somalia,55.41,58.79,57.07,15008154,4720727278.19
2018,Somaliland,,,45,,
2018,South Africa,60.46,67.40,63.86,57779622,368288939768.32
2018,South Sudan,56.12,59.14,57.60,10975920,..
2018,Spain,80.70,86.10,83.33,46796540,1419041949909.82
2018,Sri Lanka,73.42,80.12,76.81,21670000,88900770857.64
2018,St. Lucia,74.72,77.43,76.06,181889,1921848222.22
2018,St. Martin (French part),76.70,83.20,79.87,37264,..
2018,St. Vincent and the Grenadines,70.18,75.01,72.42,110210,811300000.00
2018,Sudan,63.28,66.95,65.10,41801533,40851536133.76
2018,Suriname,68.37,74.94,71.57,575991,3590753768.84
2018,Sweden,81.00,84.10,82.51,10175214,556086488936.56
2018,Switzerland,81.60,85.60,83.55,8513227,705140354166.31
2018,Syria,66.58,77.76,71.78,16906283,..
2018,Swaziland,,,58,,
2018,Tajikistan,68.73,73.18,70.88,9100837,7522947810.12
2018,United Republic of Tanzania,63.17,66.82,65.02,56318348,58001200572.40
2018,Thailand,73.23,80.70,76.93,69428524,504992757705.00
2018,East Timor,67.28,71.38,69.26,1267972,2581000000.00
2018,Togo,59.89,61.61,60.76,7889094,5358722982.71
2018,Tonga,68.88,72.76,70.80,103197,450353313.88
2018,Trinidad and Tobago,70.75,76.09,73.38,1389858,23808146747.80
2018,Tunisia,74.49,78.54,76.51,11565204,39871132267.94
2018,Turkey,74.45,80.34,77.44,82319724,771350330455.27
2018,Turkmenistan,64.60,71.58,68.07,5850908,40761142857.14
2018,Taiwan,,,80,,
2018,Uganda,60.66,65.17,62.97,42723139,27461440192.35
2018,Ukraine,66.69,76.72,71.58,44622516,130832374404.88
2018,United Arab Emirates,77.13,79.16,77.81,9630959,414178942592.48
2018,United Kingdom,79.60,83.20,81.36,66460344,2855296731521.96
2018,United States of America,76.10,81.10,78.54,326687501,20544343456936.50
2018,Uruguay,73.96,81.36,77.77,3449299,59596885024.35
2018,Uzbekistan,69.45,73.68,71.57,32955400,50499921557.51
2018,Vanuatu,68.85,71.99,70.32,292680,914301119.29
2018,Venezuela,68.40,76.07,72.13,28870195,..
2018,Vietnam,71.21,79.44,75.32,95540395,245213686369.16
2018,Western Sahara,,,66,,
2018,West Bank,72.26,75.60,73.90,4569087,14615900000.00
2018,Yemen,64.42,67.80,66.10,28498687,26914402223.78
2018,Zambia,60.53,66.45,63.51,17351822,26720073435.90
2018,Zimbabwe,59.50,62.60,61.20,14439018,31000519447.18
